epoch,kl_loss,loss,reconstruction_loss
0,16.33485221862793,14550.27734375,14533.9482421875
1,59.769256591796875,13604.0107421875,13544.251953125
2,91.27096557617188,12791.771484375,12700.5029296875
3,101.38689422607422,12457.765625,12356.3759765625
4,107.87300109863281,12163.6201171875,12055.7548828125
5,113.00176239013672,11906.978515625,11793.9765625
6,116.88174438476562,11725.0927734375,11608.2041015625
7,119.85212707519531,11574.234375,11454.380859375
8,123.83309936523438,11442.0517578125,11318.220703125
9,127.1250228881836,11275.4482421875,11148.3232421875
10,130.48876953125,11078.67578125,10948.1943359375
11,133.15670776367188,10890.68359375,10757.529296875
12,135.28305053710938,10741.716796875,10606.4384765625
13,136.78329467773438,10634.3046875,10497.5185546875
14,138.1325225830078,10543.833984375,10405.7021484375
15,139.1521453857422,10465.453125,10326.298828125
16,139.8887939453125,10402.07421875,10262.181640625
17,140.6810302734375,10324.0888671875,10183.4091796875
18,141.7725830078125,10238.96484375,10097.1982421875
19,142.76519775390625,10169.486328125,10026.71875
20,143.20240783691406,10102.8916015625,9959.6904296875
21,144.09259033203125,10046.2958984375,9902.2001953125
22,144.73500061035156,9994.8427734375,9850.111328125
23,145.55520629882812,9945.84375,9800.2822265625
24,145.9452667236328,9909.7509765625,9763.8115234375
25,146.33900451660156,9881.8603515625,9735.515625
26,146.9036865234375,9830.49609375,9683.5966796875
27,147.28616333007812,9821.6689453125,9674.3798828125
28,147.89439392089844,9779.142578125,9631.25
29,148.22874450683594,9752.673828125,9604.4482421875
30,148.86476135253906,9725.6240234375,9576.7587890625
31,149.0462188720703,9710.509765625,9561.4677734375
32,149.02488708496094,9690.626953125,9541.6005859375
33,149.4023895263672,9676.8828125,9527.4794921875
34,149.787841796875,9646.919921875,9497.134765625
35,150.10853576660156,9638.025390625,9487.9208984375
36,150.4200897216797,9606.7490234375,9456.328125
37,150.80555725097656,9585.1962890625,9434.384765625
38,151.18006896972656,9567.2529296875,9416.06640625
39,151.25344848632812,9552.8740234375,9401.6142578125
40,151.47586059570312,9545.2568359375,9393.775390625
41,151.5540771484375,9521.01171875,9369.4560546875
42,151.9913330078125,9502.421875,9350.431640625
43,151.9838104248047,9487.775390625,9335.791015625
44,152.06773376464844,9488.1435546875,9336.0771484375
45,152.31378173828125,9456.0439453125,9303.720703125
46,152.572265625,9445.3720703125,9292.7958984375
47,152.7030487060547,9436.28125,9283.576171875
48,152.79718017578125,9416.130859375,9263.33203125
49,152.9586639404297,9411.5478515625,9258.5927734375
50,153.23782348632812,9385.8564453125,9232.6181640625
51,153.41339111328125,9366.205078125,9212.7919921875
52,153.55686950683594,9366.498046875,9212.9404296875
53,153.56753540039062,9355.9970703125,9202.431640625
54,153.87986755371094,9315.908203125,9162.0283203125
55,154.22549438476562,9311.2568359375,9157.0341796875
56,154.42820739746094,9301.6494140625,9147.2216796875
57,154.14028930664062,9291.1806640625,9137.0400390625
58,154.63705444335938,9260.0087890625,9105.3798828125
59,154.86224365234375,9245.5107421875,9090.6455078125
60,154.73277282714844,9250.029296875,9095.2939453125
61,155.09059143066406,9218.42578125,9063.3349609375
62,155.15402221679688,9219.5,9064.3408203125
63,155.27796936035156,9197.3134765625,9042.0400390625
64,155.30819702148438,9204.693359375,9049.3828125
65,155.42478942871094,9181.7685546875,9026.33984375
66,155.61325073242188,9170.8388671875,9015.228515625
67,155.644287109375,9173.326171875,9017.681640625
68,155.60267639160156,9164.123046875,9008.5185546875
69,155.61346435546875,9160.41015625,9004.796875
70,156.04788208007812,9124.6748046875,8968.6181640625
71,155.95770263671875,9114.6513671875,8958.693359375
72,155.93167114257812,9107.4443359375,8951.5087890625
73,156.2564697265625,9108.5830078125,8952.3212890625
74,156.2236328125,9087.9150390625,8931.6884765625
75,155.9640350341797,9093.078125,8937.1171875
76,156.0898895263672,9104.4423828125,8948.3544921875
77,156.4325714111328,9080.9150390625,8924.48828125
78,156.30816650390625,9074.6064453125,8918.298828125
