epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5307623147964478,0.5410332679748535,0.7788026332855225,0.5277299880981445,0.5502858757972717,0.7016106843948364
1,0.545613706111908,0.5593910813331604,0.6920866370201111,0.5374462604522705,0.567762017250061,0.7040629982948303
2,0.5922131538391113,0.6378467082977295,0.6679157018661499,0.6754944324493408,0.7640883326530457,0.6543599963188171
3,0.6179912090301514,0.6739882826805115,0.6500475406646729,0.6669819355010986,0.7415562272071838,0.6175848245620728
4,0.7956551313400269,0.8763903975486755,0.4588615894317627,0.8411436080932617,0.9190364480018616,0.3810558617115021
5,0.849919855594635,0.9253160953521729,0.3669443130493164,0.8233017921447754,0.9366865158081055,0.4092397391796112
6,0.8681985139846802,0.9399559497833252,0.3317733705043793,0.8640154600143433,0.9499368667602539,0.33787521719932556
7,0.8819442987442017,0.9496086239814758,0.3050786256790161,0.8946689367294312,0.9575998187065125,0.281452476978302
8,0.8923366069793701,0.9560230374336243,0.28545570373535156,0.8919174671173096,0.9613338112831116,0.286204069852829
9,0.8994306325912476,0.960006058216095,0.27198249101638794,0.899742066860199,0.9648083448410034,0.2689800560474396
10,0.904110848903656,0.9634518623352051,0.25960180163383484,0.6919174790382385,0.9419274926185608,1.0101407766342163
11,0.9071879982948303,0.9654683470726013,0.2522904574871063,0.9080395698547363,0.9686346054077148,0.24731235206127167
12,0.9106336832046509,0.9673406481742859,0.2448466569185257,0.9059329032897949,0.9706011414527893,0.2533300220966339
13,0.914189875125885,0.969982922077179,0.23479421436786652,0.885339617729187,0.9683936238288879,0.29426661133766174
14,0.918372631072998,0.9715269804000854,0.22873128950595856,0.920120358467102,0.9732178449630737,0.2214994877576828
15,0.9185384511947632,0.9727922081947327,0.22361402213573456,0.8972485065460205,0.9712226390838623,0.3114626109600067
16,0.9218367338180542,0.9741090536117554,0.21738798916339874,0.910662055015564,0.9740085601806641,0.23761840164661407
17,0.9245821833610535,0.9755715727806091,0.21095311641693115,0.8982803225517273,0.9738885164260864,0.26025891304016113
18,0.927272379398346,0.9769816398620605,0.20495806634426117,0.920077383518219,0.973840594291687,0.21792857348918915
19,0.9294835329055786,0.9776511192321777,0.2012891322374344,0.9210662245750427,0.9741816520690918,0.2165576070547104
20,0.9314919710159302,0.9786102771759033,0.19676247239112854,0.9091573357582092,0.9748334884643555,0.2507578134536743
21,0.9329107403755188,0.979816734790802,0.19154110550880432,0.8706792593002319,0.9727429151535034,0.37876737117767334
22,0.9360616207122803,0.9808865189552307,0.18632382154464722,0.9240326881408691,0.97565096616745,0.21272726356983185
23,0.9369829297065735,0.9819862246513367,0.1809307187795639,0.9212811589241028,0.9755740165710449,0.21049652993679047
24,0.9389360547065735,0.982665479183197,0.1773180216550827,0.880266547203064,0.9735901951789856,0.30875474214553833
25,0.9404101371765137,0.9835026860237122,0.17282183468341827,0.9032673835754395,0.9749712347984314,0.25762224197387695
26,0.9431188106536865,0.9847514629364014,0.16614966094493866,0.9210231900215149,0.9749492406845093,0.2201886624097824
27,0.9443901777267456,0.9858887195587158,0.16046865284442902,0.9222270250320435,0.9746888875961304,0.22871775925159454
28,0.9474673271179199,0.9868338108062744,0.1550346165895462,0.924978494644165,0.9754056334495544,0.21351246535778046
29,0.9495679140090942,0.9876188635826111,0.1500929743051529,0.920292317867279,0.9747634530067444,0.23259411752223969
30,0.9517974853515625,0.9889934659004211,0.14261390268802643,0.919604480266571,0.9732062816619873,0.2501986026763916
31,0.954487681388855,0.9899615049362183,0.136368989944458,0.9167239665985107,0.9712613821029663,0.23261994123458862
32,0.9569751620292664,0.9908459186553955,0.12998346984386444,0.9175838232040405,0.9718214273452759,0.2479042261838913
33,0.9611026048660278,0.9919513463973999,0.12156881392002106,0.9116938710212708,0.9714837074279785,0.2523908019065857
34,0.962152898311615,0.9929538369178772,0.11511002480983734,0.9025795459747314,0.9689122438430786,0.28641465306282043
35,0.9662066102027893,0.9935212135314941,0.10894234478473663,0.9106190800666809,0.9695799946784973,0.26631394028663635
36,0.9683809280395508,0.9945372343063354,0.10131275653839111,0.9159071445465088,0.9674453139305115,0.2724009156227112
37,0.969947099685669,0.9948298931121826,0.09799521416425705,0.9081685543060303,0.9670091867446899,0.31492751836776733
38,0.9748668670654297,0.9959107637405396,0.08719179034233093,0.9154342412948608,0.9657161831855774,0.2777833342552185
39,0.9759171605110168,0.9963665008544922,0.08241748064756393,0.9141014814376831,0.9644365310668945,0.28841257095336914
40,0.9768384695053101,0.9966492056846619,0.07906153798103333,0.9119518399238586,0.9646384119987488,0.29387643933296204
41,0.9808921813964844,0.9973624348640442,0.07048546522855759,0.9066208004951477,0.961364209651947,0.32050609588623047
42,0.980818510055542,0.9976001977920532,0.06807856261730194,0.910490095615387,0.960597038269043,0.3295530676841736
43,0.9829927682876587,0.9978307485580444,0.06377510726451874,0.9073516726493835,0.9614056348800659,0.315305233001709
44,0.9846142530441284,0.9982219338417053,0.05814831703901291,0.9102321863174438,0.9583795070648193,0.34564507007598877
45,0.9848353862762451,0.9983248710632324,0.0570685900747776,0.9070507287979126,0.957066535949707,0.3687877953052521
46,0.9857751131057739,0.9984006285667419,0.055082935839891434,0.9107910394668579,0.9573287963867188,0.3582491874694824
47,0.9873781800270081,0.9985067248344421,0.051119908690452576,0.9117369055747986,0.957362174987793,0.36554577946662903
48,0.9878756403923035,0.9987135529518127,0.04948243126273155,0.910662055015564,0.9580032825469971,0.3412691652774811
49,0.9885389804840088,0.9987823367118835,0.04650462418794632,0.9104041457176208,0.9581822752952576,0.349991112947464
