epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5331023931503296,0.5473399758338928,10.240859985351562,0.5827171206474304,0.6210312843322754,1.1832499504089355
1,0.6359565854072571,0.6890106201171875,1.123317837715149,0.7187016606330872,0.800510585308075,1.0183836221694946
2,0.7806563377380371,0.8590291142463684,0.9100638031959534,0.8338779211044312,0.9109206795692444,0.7999112606048584
3,0.8430469036102295,0.9158740043640137,0.7646685838699341,0.8537403345108032,0.9327468872070312,0.7200917601585388
4,0.8671666383743286,0.9343298673629761,0.6797347068786621,0.8729148507118225,0.9427236914634705,0.6438911557197571
5,0.8811151385307312,0.9447972178459167,0.6093316078186035,0.8877902030944824,0.9500662684440613,0.5773372650146484
6,0.889296293258667,0.9511306881904602,0.5492896437644958,0.8914875388145447,0.95258629322052,0.5263348817825317
7,0.8996517658233643,0.9583845734596252,0.4845677316188812,0.8868013620376587,0.9544497132301331,0.4891992509365082
8,0.9035764932632446,0.9601304531097412,0.43725287914276123,0.8964746594429016,0.9591589570045471,0.4310212731361389
9,0.9090121984481812,0.9642186760902405,0.38523274660110474,0.8983232975006104,0.9588415026664734,0.39582499861717224
10,0.9107442498207092,0.9660259485244751,0.34185275435447693,0.8982372879981995,0.9598897099494934,0.3583357036113739
11,0.9163088798522949,0.9688104391098022,0.3005124032497406,0.8966895937919617,0.9564099311828613,0.33285361528396606
12,0.9172670245170593,0.9693869948387146,0.27181845903396606,0.905116081237793,0.9620842337608337,0.2899017930030823
13,0.9217261672019958,0.9712671637535095,0.24363099038600922,0.9021496176719666,0.9601569175720215,0.27823060750961304
14,0.9220393896102905,0.9719675183296204,0.2288915067911148,0.9053740501403809,0.9636602997779846,0.25698021054267883
15,0.9240846633911133,0.9729149341583252,0.21604023873806,0.8989681601524353,0.9634273052215576,0.2647123336791992
16,0.9247664213180542,0.9739278554916382,0.20834626257419586,0.9065778255462646,0.9621719717979431,0.255643755197525
17,0.9269775748252869,0.9748125076293945,0.20296253263950348,0.9031814336776733,0.9604236483573914,0.26302602887153625
18,0.929004430770874,0.9756777286529541,0.1994742900133133,0.9029234647750854,0.9625917673110962,0.2557528614997864
19,0.9297046065330505,0.9761167764663696,0.1976926326751709,0.9060189127922058,0.9639137387275696,0.2538372576236725
20,0.9306074976921082,0.9769191741943359,0.19427961111068726,0.9022786021232605,0.9640223383903503,0.2693443298339844
21,0.9320999979972839,0.978412389755249,0.18912789225578308,0.9037403464317322,0.9640706181526184,0.26495760679244995
22,0.9320447444915771,0.9775480628013611,0.19233755767345428,0.9082974791526794,0.9619253277778625,0.3329333961009979
23,0.9329660534858704,0.977776288986206,0.19185510277748108,0.9090283513069153,0.9643545746803284,0.27049729228019714
24,0.9360800385475159,0.9798404574394226,0.18215012550354004,0.9091573357582092,0.9643030166625977,0.24976080656051636
25,0.9359142184257507,0.980201780796051,0.18151608109474182,0.9116938710212708,0.9651620984077454,0.2521923780441284
26,0.9379042387008667,0.9807209372520447,0.17959456145763397,0.9142734408378601,0.9662877917289734,0.2574712634086609
27,0.9386044144630432,0.9813262224197388,0.17664824426174164,0.910017192363739,0.9624196290969849,0.26762643456459045
28,0.9391940236091614,0.9817844033241272,0.1739925742149353,0.9033104181289673,0.9648011326789856,0.27447497844696045
29,0.9414604306221008,0.9830064177513123,0.16946068406105042,0.9111350178718567,0.9658464789390564,0.2592345178127289
30,0.9435978531837463,0.9844497442245483,0.16165925562381744,0.910146176815033,0.9646630883216858,0.2671135365962982
31,0.9433398842811584,0.9843173027038574,0.1626048982143402,0.9118228554725647,0.9644089937210083,0.2610222101211548
32,0.9443533420562744,0.9843380451202393,0.16273613274097443,0.9033104181289673,0.9663243293762207,0.26341676712036133
33,0.9465644359588623,0.9862085580825806,0.1536383479833603,0.9122527837753296,0.9625590443611145,0.2615230083465576
34,0.9464907646179199,0.9857809543609619,0.15509623289108276,0.9116938710212708,0.964595377445221,0.2569141387939453
35,0.9476331472396851,0.9869003295898438,0.14837421476840973,0.9120378494262695,0.9640479683876038,0.2767986059188843
36,0.9498811364173889,0.9876258373260498,0.14540939033031464,0.9135425686836243,0.9644654393196106,0.27305176854133606
37,0.9505628943443298,0.9882420897483826,0.14198710024356842,0.9132845997810364,0.9650012850761414,0.2714833915233612
38,0.9517421722412109,0.988700270652771,0.13926346600055695,0.9126827120780945,0.9634490013122559,0.27088266611099243
39,0.9553720951080322,0.9897924065589905,0.1323121041059494,0.9074376821517944,0.9584115147590637,0.29522258043289185
